x,y
-1578.5677973827533,9.027726488070105
-1610.172707911908,8.038460789557622
-1447.5523440728737,7.324959705867525
-1549.6903615492936,7.4894359425845565
-1487.6993364447394,7.466347694213704
-1479.575080745895,7.4063342618374355
-1470.0960502440203,7.350658580148615
-2080.1198501197596,8.091418053852397
-2234.737129140526,8.054785911918529
-2098.4035685882322,7.6018395269267
-2034.2066961760506,7.2740721270513236
-1973.6644007275945,6.764750599286065
-2194.5027983344503,6.785375450346823
-2476.9601926737455,6.827327550347379
-2140.3892343351695,6.218100956011559
-2185.294897971253,6.099971891595919
-2386.2272223924624,6.2109359754812505
-2494.942154585161,6.223671022435885
-2449.0186101117247,6.173826798912311
-2404.8480217877445,6.041788756701775
-2243.1344566615817,5.873587448403711
-2117.1894548162904,5.735374937172595
-2093.6703987343167,5.784236716504494
-2271.917535495115,5.95879509148339
-2175.371755487344,5.877703181752341
-2208.8081225026162,5.99219853263865
-2137.567318293919,6.05424006455853
-2009.4487251306052,5.988039246588887
-1840.7864711737086,6.013168008391296
-1598.0044484993139,5.801137596720751
-1243.6172705275035,5.4002878113932775
-1056.5044633141217,5.357912368742655
-1112.4096262326545,5.555168654036093
-990.2666910883294,5.296262748448526
-1030.7465966797517,5.2049195771418795
-1228.4721136626695,5.2688627768633625
-1629.2935640506983,5.883231609202989
-1903.8183811999759,6.184488798337146
-2894.744510934184,7.268811307641571
-3072.7739282615485,7.287005115867004
-3156.3211145827863,7.256251283404084
-3296.4290288813827,7.161986109609775
-3436.8862285030264,7.348946609198683
-3094.0404577572476,6.896686308357732
-3001.4925849519473,6.71772118661277
-2480.3405862210147,6.186109741304348
-2261.4427271884,5.917620346826175
-2279.8023588849223,6.0305827313492895
-2310.694137307834,6.049011166185533
-1825.9562482410518,5.597053250468702
-1813.6198838341752,5.592209926974726
-1716.716366653436,5.430946436941741
-1600.8056051165242,5.239969398615111
-1659.5681069801467,5.38194809520021
-1543.765774582946,5.378706134378494
-1481.5099304262285,5.432380541119871
-1484.819352148196,5.35231710519293
-1476.5175172558486,5.293345780739135
-1590.973212480843,5.527086581697426
-1530.7986378216153,5.485470998261702
-1378.3015302520112,5.161977449109474
-1415.608271745641,5.081101822399356
-1506.3709077484611,5.211427391457771
-1457.7364063686255,5.11774187545399
-1457.9019487824733,5.121213154146785
-1327.906443117064,4.928126004682248
-1372.727420320068,5.125443057672012
-1368.7828598252718,5.247926872310365
-1380.7908244466491,5.283513826299957
-1267.4265223586697,5.109204240753538
-1472.0519447909708,5.383730625064135
-1789.8808095065906,5.654611777227913
-2034.5225857964085,5.841352322109719
-2068.0688681044207,5.828789024807863
-2107.118423122974,5.913861195732347
-1983.7143263186035,5.804882833404214
-2130.05476418559,6.017296771034083
-2033.3187006148748,6.00745729633333
-1749.880422473846,5.850441730950775
-1484.680857096842,5.777388654106739
-1450.7345683711642,5.703439479213499
-1569.7758113606192,5.883612890032773
-1540.1689066311128,5.786472170890939
-1457.1862991528335,5.704232477344943
-1559.309296309262,5.85281193009849
-1555.856053480256,5.705478977223711
-1438.2303732904804,5.577719032860382
-1251.4970811906428,5.590506782014376
-1190.778415311799,5.71772128312502
-1127.402658391894,5.750321586941675
-1111.143718048001,5.815387267456886
-954.9222044015704,5.331194490822829
-859.645699839559,5.135546671967011
