x,y,t
-8886.33957813682,6.153130836648859,1
-8749.248523600712,6.061431035890898,2
-7822.907470220552,5.763646334823877,3
-4537.745389452841,4.482681652998732,4
-2734.801825753744,3.61960888013419,5
-400.8864117478875,2.3058447808459226,6
-180.5190964082293,1.9787392949296752,7
-119.6890486704926,1.9059317490718415,8
-86.70935831933812,1.9045707830219425,9
-57.96893521751623,1.8272229228769687,10
-32.76973240799068,1.7853309267839237,11
-30.67328036931276,1.7633523182627815,12
-34.52502363970043,1.6899301370332727,13
-209.92408493551622,2.627619898533486,14
-273.2502964388872,2.70473045942394,15
-626.2817921910902,3.220279155775675,16
-677.1317492163581,3.308636941962377,17
-713.9181230969364,3.360578216541207,18
-733.3179084599981,3.38206882056789,19
-754.999712575866,3.42671255024744,20
-502.62229893533834,3.088335978621108,21
-443.7039897513132,3.0999729735321693,22
-147.4745321550515,2.6508914062765228,23
-126.54710140084943,2.628704406385223,24
-128.04453376110203,2.699548866314893,25
-118.24773975243227,2.809234375451935,26
-134.41908050374383,2.8706887791899667,27
-146.89985991014967,2.9011451046886316,28
-129.80442516666116,2.8445605656160207,29
-239.63456738061927,3.2484683645716617,30
-252.63921580867816,3.2630922590057883,31
-236.61058228580205,3.2238530090628994,32
-286.3816628475861,3.2860026857601263,33
-316.320475666877,3.315624370129141,34
-346.71512794808706,3.2426112459924443,35
-366.6680264321396,3.2626877781687527,36
-214.61747975594446,2.791127260945606,37
-270.9937508162794,2.8990639870623625,38
-384.03910016280736,3.112561937384863,39
-467.8757257741976,3.1517646229100738,40
-556.5030496033537,3.3271000409492766,41
-601.6520527918615,3.348366631332283,42
-598.9089657099126,3.307969467401603,43
-612.3327609319078,3.3618447737552644,44
-1003.2944277771253,3.407746533623013,45
-919.2595999577013,3.3686985330780903,46
-798.5360732072717,3.318148753175506,47
-703.9662474275398,3.145362780371663,48
-682.2364809754193,3.209574817953633,49
-671.5558380216513,3.190929364921991,50
-614.8291885751493,3.086542443598453,51
-231.48540094532513,2.8787646304521037,52
-234.21159563119605,2.792339347687967,53
-411.33075746412686,3.0425450399722513,54
-897.1018474536841,3.602164640997314,55
-1139.5838566475452,3.742523639600148,56
-1676.6405831371362,4.07533833565838,57
-2951.5203946907395,4.598582518270732,58
-3272.1788920151844,4.767232684102257,59
-3214.850294491758,4.752062626919451,60
-2911.324953914074,4.626291512539846,61
-2292.31734241189,4.264776886865593,62
-2028.2335427894968,4.130918872554319,63
-1456.0147777194932,3.7270768343937015,64
-598.405349636796,3.2113753464810317,65
-520.0402839802823,3.117735495913307,66
-451.81836990310177,2.953426625469943,67
-456.3454178735618,2.8795281375324486,68
-393.1942960870298,2.7612683345723097,69
-347.6271982609045,2.707398823696451,70
-342.89011163336363,2.6582477247681955,71
-306.3946519698975,2.5838597107017014,72
-272.14626739700856,2.551875655523745,73
-267.07476178592333,2.541687072133817,74
-240.43743410309085,2.4827221094532037,75
-211.8116969788493,2.4156576618029346,76
-260.0370035300925,2.540084094149481,77
-286.77660588692703,2.6464266240408976,78
-321.64019286366505,2.6905420369926114,79
-351.095343203536,2.728377478708143,80
-369.6566844445625,2.776111690887388,81
-455.943757687066,2.870862589402078,82
-499.0594446808784,2.9134509307312686,83
-478.53090628480254,2.8815765867261516,84
-439.91270064886777,2.856911185136666,85
-448.5342197177092,2.905516164398913,86
-426.9729471308241,2.9391938385881304,87
-409.6858216159119,2.9096501586446792,88
-328.25326484786586,2.80030477887457,89
-265.45723392738597,2.721214184616133,90
-223.48920069846682,2.696809689858539,91
-233.8689667137592,2.7254999466147387,92
-227.7178580392951,2.7166325698802303,93
-250.22772662839316,2.7845322387137803,94
-268.3760591074175,2.7856197649527146,95
-234.18929466748088,2.689936096842274,96
-262.8879708114445,2.760666321446965,97
-270.5191082592768,2.7757953391442665,98
-244.6532321644073,2.699565333356304,99
-224.34848335791207,2.665241744171767,100
-207.6645162800312,2.6275911630885314,101
-197.60076513705025,2.6366596402434044,102
-198.57159211494923,2.6764549211079403,103
-193.0870737360174,2.68012339419129,104
-191.16720125204853,2.620164988707554,105
-194.5196755024145,2.6385687926440453,106
-189.0755272456964,2.628895216255661,107
-183.43728591412668,2.610811653490153,108
-214.49614003236013,2.7740272990169488,109
-235.32237710906136,2.856100230098765,110
-259.68139504900756,2.896388688766874,111
-285.5478673850302,2.937283889974661,112
-276.1839455584637,2.9043333257812263,113
-278.06991551217595,2.9920269449767765,114
-310.07967145764826,3.0710370515238754,115
-267.3122269009463,3.0194178065227466,116
-263.8322108723878,2.995067516952609,117
-207.7215798010629,2.8569409446137275,118
-168.83971418857388,2.8344342618423712,119
-174.46806344124968,2.8600377982263243,120
-162.78348202416112,2.7726402742112746,121
-136.44738964437997,2.6793001673504304,122
-127.69250602924453,2.617681075438172,123
-127.5877470766606,2.6602798591466033,124
-149.40054691641313,2.6380265969055254,125
-163.83066525187678,2.5918287669822218,126
-161.55739352222344,2.48032765009592,127
-150.7964778444313,2.484850510959373,128
-169.96635077250994,2.5174982924039977,129
-157.1304774127019,2.473822538152946,130
-147.69848834648016,2.4296819289532117,131
-126.66883209240086,2.373872998768102,132
-112.89056942241781,2.373568709048849,133
-125.02777190497359,2.4759150923706907,134
-125.21386117700364,2.4248932176114777,135
-108.30385256037087,2.4018678550000843,136
-111.07483285824283,2.4263697116843983,137
-130.49731751697584,2.444054973974997,138
-197.61612741991237,2.593475232223947,139
1581.2384489321812,6.640136023494282,140
1601.2193697536654,7.249821452739667,141
1828.7975911126962,7.956154274528289,142
1973.3727696151007,8.726416244154105,143
2128.0841215597893,9.513852891002223,144
2309.8992513568737,10.360624723843445,145
2256.387923646561,11.454735204558347,146
1566.773844423986,8.624846200597418,147
1532.2019332786726,8.806188207955906,148
1183.7281182136353,11.362478924241493,149
1305.5516160835753,13.175848620890987,150
1130.1388433046052,14.877880783152637,151
1312.454100608407,16.573672431205402,152
1564.8403234128016,17.63049550393826,153
1707.6881639276983,18.94467577984374,154
1695.112877753836,20.043598463181166,155
1073.7093497459668,17.540915111256847,156
637.3374724781382,15.107747163157715,157
235.65456972164856,13.03557933563285,158
-194.70894138613954,10.532473931240338,159
-689.8513555319881,8.53417200768131,160
-1174.0442684996513,6.567311843862013,161
-1119.0108004073581,4.799625999910224,162
-776.3391430469023,4.0610555420100365,163
-744.9602199398978,4.015252492490277,164
-714.6383374813637,3.9639302764840982,165
-718.8507600574466,4.012266714447377,166
-682.706562306078,3.9280712889892917,167
-658.3551757897831,3.8916503422361575,168
-574.3793153587709,3.8626553006172086,169
-549.6750510083538,3.885682182194972,170
-628.4015970984188,4.139000180535733,171
-642.7507531563168,4.236635345020448,172
-697.3572091595446,4.295367250233861,173
-782.8678235862851,4.444854645244236,174
-818.2054908715229,4.554807661998586,175
-864.085111310537,4.706117016387632,176
-904.5999996344095,4.8262538647181055,177
-837.8495268567208,4.684769030102453,178
-846.7627241307931,4.731047127769478,179
-796.4574199877568,4.667980000814409,180
-774.7957009248805,4.673858002706136,181
-736.7170150531437,4.608529727489383,182
-863.9507253376518,4.750904183134406,183
-954.5255276065966,5.032651777174876,184
-1042.8459112820567,5.183696288885756,185
-996.2824343261622,5.053927121255627,186
-936.3848743903451,4.8103122740188535,187
-827.2460133487649,4.534097512550463,188
-716.341054258403,4.173370239353096,189
-587.2970082947071,3.724424010001585,190
-448.61665143764253,3.119697273055999,191
-319.09858871769967,2.776702244540709,192
-240.0114708754991,2.6838840681377603,193
-212.10727545433357,2.658305694496821,194
-200.48361643470255,2.676087013510572,195
-188.97511204734735,2.6743274744175984,196
-184.29081223493034,2.6578132982083713,197
-165.76776289641936,2.696448410009299,198
-154.0817903808255,2.648425827420088,199
-148.51521944732366,2.6251479384732677,200
-168.69637347149933,2.626529847948315,201
-172.32097248899987,2.6492784777362086,202
-151.89956480464582,2.6090453875288286,203
-115.20198697698234,2.5304108044110665,204
-100.42621060108077,2.4390266294853262,205
-92.29460027920358,2.3849061123083093,206
-101.03953827167217,2.3921253874429533,207
-84.68279816210212,2.3575392756306246,208
-69.78931746503066,2.3466260284900087,209
-74.96343282147927,2.3075988756509043,210
-73.4918355345995,2.2550571733302407,211
-48.09848334723582,2.1911534859224364,212
-54.44315501363402,2.2000473863071224,213
-52.85539689234695,2.144545569406916,214
-36.70155526983532,2.101888021058663,215
-42.89274556754106,2.095912054890712,216
-46.36067839122514,2.102359699407229,217
-49.815731830459185,2.161887643299247,218
-71.45297732016455,2.1896901362794843,219
-67.43918630995267,2.148549658833505,220
-68.08268309454225,2.1511371150805547,221
-60.757905897829716,2.151071072760246,222
-59.782118853041176,2.193019492746839,223
-54.779157086510224,2.1162867734658604,224
-65.22415859175085,2.1396373279916334,225
-68.98845229763481,2.1524232804070085,226
-65.26105206070652,2.155168427837622,227
-63.49067513503505,2.1300519380885197,228
-77.09303205984635,2.1955258938463316,229
-85.45423220779811,2.302111221901997,230
-85.51007083898894,2.2888483965736115,231
-78.27959223774288,2.275441842447025,232
-65.81872163699451,2.2261184944976242,233
-67.28248616743583,2.2289994235486903,234
-60.91120385817856,2.2233392965053485,235
-46.19309644606982,2.1712982768303135,236
-46.247762843159755,2.194685554048841,237
-55.54643351161981,2.2851408495745638,238
-70.10863493766938,2.351862363413956,239
-75.6717562185712,2.3882594672122193,240
-86.9246411530947,2.4014376765523973,241
-86.91077822942692,2.415988266080599,242
-93.06543205232168,2.413535564184996,243
-89.2943800040051,2.3632008207338346,244
-88.88755170731358,2.300933745024254,245
-69.732488399964,2.1523239585870053,246
-61.811562335636204,2.192569995346133,247
-51.41611751851127,2.173334354650861,248
-45.98983775370169,2.2013896390298098,249
-52.76157531039316,2.283058911099439,250
-73.54427214812905,2.4075416726405923,251
-70.19468619426216,2.421395569690373,252
-80.1323381373228,2.5325095176967953,253
-94.9209147958895,2.5772584171806683,254
-101.40369636240872,2.6023297852479588,255
-122.7867655062947,2.6675509518560214,256
-126.65055495859413,2.6520343380012754,257
-159.07341863154664,2.7563706849309075,258
-168.020790310831,2.77722030316506,259
-154.79570536481506,2.758687398593811,260
-150.61710389999575,2.743666671633572,261
-157.12587671639278,2.753822393039744,262
-138.40518154942185,2.6483386071725485,263
-152.88094966004704,2.706491011496198,264
-124.76726986298516,2.5348907074270013,265
-128.30975668264176,2.5421013588250356,266
-137.49328402844247,2.5855791523788167,267
-147.9452474533869,2.634374342662079,268
-140.67660560286745,2.6012882745490495,269
-132.66215464812504,2.6072522511409275,270
-119.96590621662169,2.5990858169303594,271
-105.23086310316654,2.6292239283605876,272
-106.94810433260423,2.635429223288834,273
